a,b,k,d,ad,overlap_days,a_name,b_name
sse/880857,sse/880812,114,-0.4504089536295032,0.4504089536295032,1974,sse/880857 证金汇金持股,sse/880812 昨日连板
sse/880873,sse/880784,104,-0.45025682516072707,0.45025682516072707,1651,sse/880873 个人持股,sse/880784 昨日较弱
sse/880864,sse/880781,115,0.4499719128073883,0.4499719128073883,1678,sse/880864 昨日振荡,sse/880781 QFII新进
sse/880422,sse/880772,115,-0.44979333937467797,0.44979333937467797,1038,sse/880422 文教休闲,sse/880772 最近闪拉
sse/880465,sse/880778,115,-0.44845665372155785,0.44845665372155785,1486,sse/880465 交通设施,sse/880778 次新预增
sse/880453,sse/880867,96,-0.4483205200270312,0.4483205200270312,2389,sse/880453 公共交通,sse/880867 昨高换手
sse/880854,sse/880786,116,-0.4481553193533059,0.4481553193533059,1177,sse/880854 预高送转,sse/880786 海外业务
sse/880773,sse/880774,59,-0.44675755269942763,0.44675755269942763,983,sse/880773 最近闪跌,sse/880774 昨日首板
sse/880867,sse/880871,104,0.44581479166837756,0.44581479166837756,2366,sse/880867 昨高换手,sse/880871 股权分散
sse/880474,sse/880784,76,-0.4454736538492545,0.4454736538492545,1651,sse/880474 多元金融,sse/880784 昨日较弱
sse/880892,sse/880784,103,-0.4447498142756421,0.4447498142756421,1651,sse/880892 高质押股,sse/880784 昨日较弱
sse/880810,sse/880770,84,0.4442241157701122,0.4442241157701122,1072,sse/880810 陆股通增,sse/880770 昨日上榜
sse/880824,sse/880784,107,-0.44405409902857135,0.44405409902857135,1651,sse/880824 高市盈率,sse/880784 昨日较弱
sse/880854,sse/880772,82,0.4430453382866057,0.4430453382866057,850,sse/880854 预高送转,sse/880772 最近闪拉
sse/880867,sse/880793,109,0.4419053715547438,0.4419053715547438,1589,sse/880867 昨高换手,sse/880793 基金减仓
sse/880355,sse/880778,98,0.44161694651499406,0.44161694651499406,1486,sse/880355 日用化工,sse/880778 次新预增
sse/880854,sse/880752,85,-0.44059779948016664,0.44059779948016664,776,sse/880854 预高送转,sse/880752 昨曾跌停
