a,b,a_name,b_name,overlap_days,r0_raw_close,k_raw20,d_raw20,d_raw60max,r0_ret,k_ret_sig,d_ret_sig,k_ret60,d_ret60,h1_k,h1_d,h2_k,h2_d,half_stable,half_sign_consistent,p_bs,bs_pass,verdict
sse/880452,sse/880970,sse/880452 电信运营,sse/880970 分拆上市预期,1600,0.057165209210522205,20,0.13579379087738241,0.4102126901545633,0.5017136549417925,17,0.07155104808744421,44,-0.07894698514091142,17,0.06883311641949899,8,0.0947223878870328,False,True,,False,rejected:not_stable_not_significant
sse/880387,sse/880603,sse/880387 家用电器,sse/880603 新进指标股,1086,0.4049579005535436,20,0.1557885509277997,0.39584116925038,0.5209740189065706,3,0.0713641808817163,39,0.10100231792197972,1,-0.10947749016038011,3,0.11597520976433175,False,False,,False,rejected:sign_flips_between_halves
sse/880538,sse/880756,sse/880538 参股金融,sse/880756 机构吸筹,1146,0.7253334438839775,20,0.1626638463288964,0.49951318781263854,0.6562547246515146,2,0.07134673333382333,21,0.07339795725792495,2,0.12332424651396001,12,-0.10340259433300045,False,False,,False,rejected:sign_flips_between_halves
sse/880539,sse/880772,sse/880539 股权激励,sse/880772 最近闪拉,1038,-0.6145812320068795,20,0.17021949836311245,0.41886283989395273,0.05173819511861635,19,0.0713127862590722,44,0.09553356509411334,1,0.1271793075564672,19,0.11389605723716478,False,True,,False,rejected:not_stable_not_significant
sse/880455,sse/880756,sse/880455 供气供热,sse/880756 机构吸筹,1146,0.6899693355115142,20,0.15364845468616195,0.48822031509938607,0.44427731910649965,18,-0.0713024455345157,47,0.07144248006710605,18,-0.15081155046409173,12,-0.12295596734420433,False,True,,False,rejected:not_stable_not_significant
sse/880472,sse/880782,sse/880472 证券,sse/880782 保险新进,1678,0.48396144858410456,20,0.15698753794085585,0.41541223926569604,0.5802307377670809,8,-0.0712049111231315,31,0.07629153722653438,12,-0.08767973353633457,19,0.09886675392055264,False,False,,False,rejected:sign_flips_between_halves
sse/880823,sse/880756,sse/880823 微盘股,sse/880756 机构吸筹,1146,0.4396503290009088,20,0.16360612816167625,0.5058374352305466,0.66228889123753,5,-0.0711031765098197,5,-0.0711031765098197,14,-0.07295532746051106,5,-0.09637849717820032,False,True,,False,rejected:not_stable_not_significant
sse/880871,sse/880677,sse/880871 股权分散,sse/880677 活跃可转债,731,-0.10069298295030898,20,0.19846529361503157,0.6037528178005788,0.7619359787090249,1,-0.07106840295964931,42,0.08900026833345023,10,0.1092112171148806,1,-0.11426591451886814,False,False,,False,rejected:sign_flips_between_halves
sse/880824,sse/880677,sse/880824 高市盈率,sse/880677 活跃可转债,731,0.12524334316046662,20,0.1996199408927162,0.5965384003034894,0.7914474487284429,1,-0.07101342010065548,49,0.09371551179623987,5,0.12825780590951363,1,-0.1077741648548671,False,False,,False,rejected:sign_flips_between_halves
sse/880350,sse/880774,sse/880350 造纸,sse/880774 昨日首板,1723,0.17037923416620468,20,-0.1302251175063491,0.40497008670636286,0.012330104877589478,14,-0.07097002512658375,23,-0.08786437234834048,6,0.13590592061667395,6,-0.09653742699014599,False,False,,False,rejected:sign_flips_between_halves
sse/880430,sse/880756,sse/880430 航空,sse/880756 机构吸筹,1146,0.715841551077357,20,0.1968940001966878,0.4058618934701516,0.5800626868930356,2,0.07095254646569395,32,0.09374373303984278,9,-0.09972786722050553,2,0.09617941583871958,False,False,,False,rejected:sign_flips_between_halves
sse/880418,sse/880756,sse/880418 传媒娱乐,sse/880756 机构吸筹,1146,0.22304788317619048,20,0.1941257711754596,0.5406830685233402,0.5285769457205219,12,-0.07092828169821991,58,0.09372781734016275,16,-0.058806528271958994,12,-0.11046546443312723,True,True,,False,rejected:half-stable
