a,b,k_signed,d_signed,k_absmax,d_absmax,overlap_days,a_name,b_name
sse/000001,sse/880852,24,0.0005343789361739182,60,0.005314060237538221,2935,sse/000001 上证综指,sse/880852 参股新股
sse/000001,sse/880853,1,-0.003805164535442551,60,0.18600417842311712,2737,sse/000001 上证综指,sse/880853 中字头
sse/000001,sse/880854,1,-0.001789503184431697,60,0.0379421029858845,2264,sse/000001 上证综指,sse/880854 预高送转
sse/000001,sse/880856,60,0.024651401017338093,60,0.024651401017338093,2660,sse/000001 上证综指,sse/880856 定增股
sse/000001,sse/880857,1,-0.0036778553293296268,60,0.07916394333324661,2660,sse/000001 上证综指,sse/880857 证金汇金持股
sse/000001,sse/880858,60,0.17515331521690986,60,0.17515331521690986,2575,sse/000001 上证综指,sse/880858 国开持股
sse/000001,sse/880859,1,-0.00033348986107362144,60,0.006638774258588276,2532,sse/000001 上证综指,sse/880859 员工持股
sse/000001,sse/880860,51,0.022508127809520717,51,0.022508127809520717,2532,sse/000001 上证综指,sse/880860 扣非亏损
sse/000001,sse/880861,51,0.00998720554791016,51,0.00998720554791016,2532,sse/000001 上证综指,sse/880861 连续亏损
sse/000001,sse/880863,1,-0.004777462200201782,60,0.15123517013552537,2414,sse/000001 上证综指,sse/880863 昨日涨停
sse/000001,sse/880864,1,-0.002103236999268565,60,0.15073595492268702,2414,sse/000001 上证综指,sse/880864 昨日振荡
sse/000001,sse/880865,60,0.16319213246736097,60,0.16319213246736097,2389,sse/000001 上证综指,sse/880865 近期新高
sse/000001,sse/880866,1,-0.0046423000616004,60,0.3168298232590127,2353,sse/000001 上证综指,sse/880866 近期新低
sse/000001,sse/880867,1,-0.0009732689759157018,60,0.2550541791175881,2389,sse/000001 上证综指,sse/880867 昨高换手
sse/000001,sse/880868,2,5.4052513004720915e-05,60,0.03974171736202281,2389,sse/000001 上证综指,sse/880868 高贝塔值
sse/000001,sse/880869,39,0.005740708247232051,39,0.005740708247232051,2379,sse/000001 上证综指,sse/880869 股权转让
sse/000001,sse/880947,1,-0.0006744301460396285,60,0.03775832990760042,2376,sse/000001 上证综指,sse/880947 债转股AMC
sse/000001,sse/880870,1,-0.0006504971062110121,60,0.040438617904794416,2366,sse/000001 上证综指,sse/880870 两年新股
sse/000001,sse/880871,23,0.0016306285761444883,60,0.016193924083505173,2366,sse/000001 上证综指,sse/880871 股权分散
sse/000001,sse/880872,1,-0.0012130869361153263,60,0.05742107074643932,2289,sse/000001 上证综指,sse/880872 近期复牌
sse/000001,sse/880873,48,0.060086503384190415,48,0.060086503384190415,2289,sse/000001 上证综指,sse/880873 个人持股
sse/000001,sse/880874,41,0.15367928788813562,41,0.15367928788813562,2289,sse/000001 上证综指,sse/880874 昨曾涨停
sse/000001,sse/880875,1,-0.0022997887596222233,60,0.16250349858372148,2289,sse/000001 上证综指,sse/880875 中小银行
sse/000001,sse/880876,60,0.06616963890477853,60,0.06616963890477853,2289,sse/000001 上证综指,sse/880876 户数增加
sse/000001,sse/880877,60,0.13242612823493494,60,0.13242612823493494,2289,sse/000001 上证综指,sse/880877 户数减少
sse/000001,sse/880878,60,0.14632367830921506,60,0.14632367830921506,2275,sse/000001 上证综指,sse/880878 百元股
sse/000001,sse/880879,18,0.01479449120714238,18,0.01479449120714238,2275,sse/000001 上证综指,sse/880879 低价股
sse/000001,sse/880880,60,0.21291091418945093,60,0.21291091418945093,2215,sse/000001 上证综指,sse/880880 近期强势
sse/000001,sse/880881,60,0.17765776926528215,60,0.17765776926528215,2197,sse/000001 上证综指,sse/880881 近期弱势
sse/000001,sse/880882,60,0.22122772041113992,60,0.22122772041113992,2215,sse/000001 上证综指,sse/880882 久不分红
sse/000001,sse/880883,1,-0.0010085802427741708,60,0.06612891871029303,2208,sse/000001 上证综指,sse/880883 MSCI成份
sse/000001,sse/880884,60,0.1723519695218466,60,0.1723519695218466,2175,sse/000001 上证综指,sse/880884 最近异动
sse/000001,sse/880885,1,-0.0018124963631853674,60,0.18057880409742041,2157,sse/000001 上证综指,sse/880885 近端次新
sse/000001,sse/880886,60,0.1490852963366159,60,0.1490852963366159,2128,sse/000001 上证综指,sse/880886 昨日较强
sse/000001,sse/880887,60,0.15776561589521035,60,0.15776561589521035,2083,sse/000001 上证综指,sse/880887 次新超跌
sse/000001,sse/880889,1,-0.0018331637262526401,60,0.17556139494784684,2019,sse/000001 上证综指,sse/880889 不活跃股
sse/000001,sse/880890,1,-0.004509662203394105,60,0.10368930460386055,1878,sse/000001 上证综指,sse/880890 配股预案
sse/000001,sse/880891,1,-0.0002918976451041777,60,0.0776673723816641,2038,sse/000001 上证综指,sse/880891 破发行价
sse/000001,sse/880892,60,0.4228547558446758,60,0.4228547558446758,2035,sse/000001 上证综指,sse/880892 高质押股
sse/000001,sse/880893,1,-0.0008692848241259599,60,0.1301783714328586,1997,sse/000001 上证综指,sse/880893 送转超跌
sse/000001,sse/880894,60,0.0478056152374684,60,0.0478056152374684,1997,sse/000001 上证综指,sse/880894 养老金持股
sse/000001,sse/880810,1,-0.0005033728435853702,60,0.025600874980792776,1540,sse/000001 上证综指,sse/880810 陆股通增
