x,x_name,overlap_days,dir,k*,d(k*),r0_ret,k20,d(k20),half_stable,raw_d@k*,raw_k*
sse/880868,sse/880868 高贝塔值,2388,X_leads_mic,11,-0.07929614914692004,0.611416592615316,11,-0.07929614914692004,True,0.011240256817161676,60
sse/880825,sse/880825 预计转亏,887,X_leads_mic,25,-0.07928178795047902,0.6229014289134817,19,0.06589728847012373,True,-0.002836423408199229,60
sse/880864,sse/880864 昨日振荡,2413,X_leads_mic,7,-0.07907300233972425,0.12727422218313303,7,-0.07907300233972425,True,-0.007217901503330598,60
sse/880779,sse/880779 高融资盘,1681,X_leads_mic,2,-0.07878307032003379,0.8200990000849061,2,-0.07878307032003379,True,0.005090193269506549,60
sse/880789,sse/880789 昨成交20,1353,mic_leads_X,37,0.07847208193858018,0.3017959766462469,16,0.06795873530841848,False,0.10112599809503053,60
sse/880805,sse/880805 保险重仓,4749,X_leads_mic,1,-0.0784371331238434,0.6931635267700648,1,-0.0784371331238434,True,-0.0003312725968693808,43
sse/880778,sse/880778 次新预增,1473,X_leads_mic,2,-0.0781532807392787,0.5428079609492296,2,-0.0781532807392787,True,-0.008923472581052791,60
sse/880867,sse/880867 昨高换手,2388,X_leads_mic,50,-0.07797892860932859,0.1220229783600558,18,-0.054216744114386525,True,-0.0618499172331559,60
sse/880847,sse/880847 行业龙头,3305,X_leads_mic,6,-0.0778012547703731,0.531782435346317,6,-0.0778012547703731,True,-0.0005706943373483542,60
sse/880814,sse/880814 拟增持,1834,X_leads_mic,2,-0.07762804586178103,0.6228500172356072,2,-0.07762804586178103,True,0.00039971044557141067,60
sse/880380,sse/880380 酿酒,4749,X_leads_mic,1,-0.07707119730588453,0.5365554660789057,1,-0.07707119730588453,True,-0.001111191658785926,60
szse/399001,szse/399001 深证成指,4749,X_leads_mic,1,-0.0767295418751741,0.8145872674650619,1,-0.0767295418751741,True,0.0007590088361713043,60
sse/880783,sse/880783 社保新进,1677,X_leads_mic,2,-0.07660889234523158,0.5546141665103583,2,-0.07660889234523158,True,0.003064179595803962,60
sse/880836,sse/880836 配股股,4370,X_leads_mic,1,-0.07645488982100744,0.720426701980267,1,-0.07645488982100744,True,0.0004491542981503449,60
sse/880539,sse/880539 股权激励,4749,X_leads_mic,1,-0.07636637815400656,0.7899073846586129,1,-0.07636637815400656,True,0.0008926506651202315,60
sse/880543,sse/880543 外资背景,3583,X_leads_mic,1,-0.07600669570844346,0.6980926308129628,1,-0.07600669570844346,True,0.00013373541643990627,60
sse/880842,sse/880842 业绩预升,3194,X_leads_mic,1,-0.07593684856068698,0.7533638947516083,1,-0.07593684856068698,True,0.0010766089725600114,60
sse/880815,sse/880815 拟减持,1832,X_leads_mic,2,-0.07550826556992238,0.7075793621688586,2,-0.07550826556992238,True,0.004650677185605578,60
sse/880792,sse/880792 基金增仓,1588,X_leads_mic,12,-0.07454248490285484,0.5788956659219799,12,-0.07454248490285484,True,0.034653465231201955,60
sse/880387,sse/880387 家用电器,4749,X_leads_mic,1,-0.074493002470527,0.7138176734374819,1,-0.074493002470527,True,-0.0004414979943885289,43
szse/399102,szse/399102 创业板综,3920,X_leads_mic,1,-0.07436665812689369,0.818748626239281,1,-0.07436665812689369,True,0.0004774878343976052,60
sse/880880,sse/880880 近期强势,2214,mic_leads_X,51,0.07418805010420576,0.46556592662974117,4,0.057250908664553055,True,0.10363409078370706,60
sse/000012,sse/000012 国债指数,4749,X_leads_mic,27,-0.07403858726754177,-0.04108523181350355,1,0.04443067158311483,True,-0.009153407598677221,60
sse/880857,sse/880857 证金汇金持股,2659,X_leads_mic,1,-0.07397547404367194,0.6591693354677288,1,-0.07397547404367194,True,-0.0015165735253444002,60
sse/880804,sse/880804 信托重仓,4749,X_leads_mic,1,-0.07310991213649258,0.7764111833266379,1,-0.07310991213649258,True,-0.0005951977889159243,46
sse/880863,sse/880863 昨日涨停,2413,mic_leads_X,29,0.07291988584294351,0.006925249566303198,14,-0.05433295550114198,True,-0.016304669613960696,60
sse/880826,sse/880826 低市盈率,4749,X_leads_mic,1,-0.07214386147733534,0.6579930837012808,1,-0.07214386147733534,True,-0.00027599168278003017,46
sse/880875,sse/880875 中小银行,2288,X_leads_mic,43,-0.07201778811984882,0.3123057209478107,3,-0.06297820060834881,True,-0.03150607467038502,60
sse/880756,sse/880756 机构吸筹,1145,X_leads_mic,5,-0.0711031765098197,0.6622888912375297,5,-0.0711031765098197,True,0.03333119267401746,60
sse/880559,sse/880559 要约收购,1877,mic_leads_X,9,0.07074615644365231,0.606827840446887,9,0.07074615644365231,True,0.014173117013987824,60
sse/880881,sse/880881 近期弱势,2189,X_leads_mic,2,-0.0707354295717645,0.7279037648680119,2,-0.0707354295717645,True,0.00029298813438733903,60
sse/880806,sse/880806 社保重仓,4749,X_leads_mic,1,-0.06965342364429734,0.7388468091212771,1,-0.06965342364429734,True,-0.0002427550712530424,60
sse/880786,sse/880786 海外业务,1647,X_leads_mic,12,-0.0681443467552088,0.5386598936805186,12,-0.0681443467552088,True,0.03917367319658205,60
sse/880565,sse/880565 送转潜力,3413,X_leads_mic,1,-0.06790936768679244,0.8037939745572314,1,-0.06790936768679244,True,0.0004134670163473686,60
sse/880883,sse/880883 MSCI成份,2207,X_leads_mic,2,-0.06758890154618928,0.504947334217721,2,-0.06758890154618928,True,0.0003249115430273841,60
